researchExp,industryExp,toeflScore,greV,greQ,greA,univName,cgpaNorm
0,66,94.0,146.0,157.0,3.0,Worcester Polytechnic Institute,0.7828
0,0,81.0,148.0,161.0,2.5,Worcester Polytechnic Institute,0.57
0,0,104.0,150.0,161.0,4.5,Worcester Polytechnic Institute,0.622
0,0,95.0,147.0,156.0,3.0,Worcester Polytechnic Institute,0.52
0,0,101.0,152.0,158.0,3.0,Worcester Polytechnic Institute,0.64
0,0,107.0,156.0,163.0,4.5,Worcester Polytechnic Institute,0.7140000000000001
0,0,94.0,148.0,153.0,3.5,Worcester Polytechnic Institute,0.573
0,0,99.0,152.0,163.0,3.5,Worcester Polytechnic Institute,0.65
0,0,99.0,152.0,163.0,3.5,Worcester Polytechnic Institute,0.65
0,0,99.0,152.0,163.0,3.5,Worcester Polytechnic Institute,0.65
0,0,91.0,146.0,161.0,3.0,Worcester Polytechnic Institute,0.5484
0,39,101.0,149.0,159.0,3.0,Worcester Polytechnic Institute,0.765
0,0,96.0,161.0,154.0,3.0,Worcester Polytechnic Institute,0.705
0,24,98.0,143.0,159.0,3.0,Worcester Polytechnic Institute,0.55
0,0,111.0,156.0,159.0,3.5,Worcester Polytechnic Institute,0.7238
0,0,94.0,159.0,156.0,3.0,Worcester Polytechnic Institute,0.6324000000000001
0,0,99.0,143.0,162.0,3.5,Worcester Polytechnic Institute,0.874
0,0,105.0,149.0,156.0,3.5,Worcester Polytechnic Institute,0.64
0,36,109.0,152.0,163.0,3.5,Worcester Polytechnic Institute,0.652
0,0,107.0,162.0,163.0,3.0,Worcester Polytechnic Institute,0.7
0,0,101.0,149.0,160.0,3.0,Worcester Polytechnic Institute,0.72
0,0,115.0,160.0,160.0,4.0,Worcester Polytechnic Institute,0.79
0,0,95.0,152.0,163.0,3.0,Worcester Polytechnic Institute,0.62
0,26,93.0,145.0,160.0,3.0,Worcester Polytechnic Institute,0.759
0,0,103.0,152.0,160.0,3.0,Worcester Polytechnic Institute,0.8
0,0,103.0,146.0,155.0,3.0,Worcester Polytechnic Institute,0.58
0,0,96.0,140.0,156.0,2.0,Worcester Polytechnic Institute,0.91
0,0,113.0,156.0,160.0,3.5,Worcester Polytechnic Institute,0.7813
0,0,108.0,158.0,167.0,4.5,Worcester Polytechnic Institute,0.869
0,0,98.0,145.0,159.0,3.0,Worcester Polytechnic Institute,0.64
0,0,101.0,148.0,163.0,4.0,Worcester Polytechnic Institute,0.53
