name,tuition,rank,acceptance,website,location
Princeton University,"$47,140",1,7%,http://www.princeton.edu,"Princeton, NJ"
Harvard University,"$50,420",2,5%,http://www.harvard.edu,"Cambridge, MA"
Columbia University,"$59,430",3,7%,http://www.columbia.edu,"New York, NY"
Massachusetts Institute of Technology,"$51,832",4,8%,http://web.mit.edu/,"Cambridge, MA"
University of Chicago,"$57,006",5,8%,http://www.uchicago.edu,"Chicago, IL"
Yale University,"$53,430",6,6%,https://www.yale.edu/,"New Haven, CT"
Stanford University,"$51,354",7,5%,http://www.stanford.edu/,"Stanford, CA"
Duke University,"$55,960",8,11%,https://duke.edu/,"Durham, NC"
University of Pennsylvania,"$55,584",9,9%,http://www.upenn.edu,"Philadelphia, PA"
Johns Hopkins University,"$53,740",10,13%,https://www.jhu.edu/,"Baltimore, MD"
Northwestern University,"$54,567",11,11%,http://www.northwestern.edu,"Evanston, IL"
California Institute of Technology,"$52,362",12,8%,http://www.caltech.edu,"Pasadena, CA"
Dartmouth College,"$55,035",13,11%,http://www.dartmouth.edu,"Hanover, NH"
Brown University,"$55,656",14,9%,http://www.brown.edu,"Providence, RI"
Vanderbilt University,"$49,816",15,11%,http://www.vanderbilt.edu,"Nashville, TN"
Cornell University,"$55,188",16,14%,http://www.cornell.edu,"Ithaca, NY"
Rice University,"$47,350",17,15%,http://www.rice.edu,"Houston, TX"
University of Notre Dame,"$53,391",18,19%,http://www.nd.edu,"Notre Dame, IN"
University of California--Los Angeles,"$41,294 (out-of-state), $13,280 (in-state)",19,18%,http://www.ucla.edu/,"Los Angeles, CA"
Washington University in St. Louis,"$53,399",20,17%,http://www.wustl.edu,"St. Louis, MO"
Emory University,"$51,306",21,25%,http://www.emory.edu,"Atlanta, GA"
Georgetown University,"$54,104",22,17%,http://www.georgetown.edu,"Washington, DC"
University of California--Berkeley,"$43,232 (out-of-state), $14,240 (in-state)",23,17%,http://www.berkeley.edu,"Berkeley, CA"
University of Southern California,"$56,225",24,17%,http://www.usc.edu/,"Los Angeles, CA"
Carnegie Mellon University,"$55,465",25,22%,http://www.cmu.edu/,"Pittsburgh, PA"
University of Virginia,"$48,891 (out-of-state), $17,350 (in-state)",26,30%,http://www.virginia.edu,"Charlottesville, VA"
Tufts University,"$56,382",27,14%,http://www.tufts.edu,"Medford, MA"
University of Michigan--Ann Arbor,"$49,350 (out-of-state), $15,262 (in-state)",28,29%,http://www.umich.edu,"Ann Arbor, MI"
Wake Forest University,"$53,322",29,30%,http://www.wfu.edu,"Winston-Salem, NC"
New York University,"$51,828",30,32%,http://www.nyu.edu,"New York, NY"
University of California--Santa Barbara,"$42,486 (out-of-state), $14,472 (in-state)",31,36%,http://www.ucsb.edu,"Santa Barbara, CA"
University of North Carolina--Chapel Hill,"$35,169 (out-of-state), $8,986 (in-state)",32,27%,http://www.unc.edu,"Chapel Hill, NC"
University of California--Irvine,"$43,530 (out-of-state), $15,516 (in-state)",33,41%,http://www.uci.edu/,"Irvine, CA"
University of Rochester,"$53,926",34,36%,http://www.rochester.edu/,"Rochester, NY"
Brandeis University,"$55,395",35,33%,http://www.brandeis.edu/,"Waltham, MA"
Georgia Institute of Technology,"$33,020 (out-of-state), $12,424 (in-state)",36,26%,http://www.gatech.edu,"Atlanta, GA"
University of Florida,"$28,658 (out-of-state), $6,381 (in-state)",37,46%,http://www.ufl.edu/,"Gainesville, FL"
Boston College,"$55,464",38,31%,http://www.bc.edu,"Chestnut Hill, MA"
College of William and Mary,"$44,701 (out-of-state), $21,830 (in-state)",39,37%,http://www.wm.edu,"Williamsburg, VA"
University of California--Davis,"$43,458 (out-of-state), $14,463 (in-state)",40,42%,http://www.ucdavis.edu,"Davis, CA"
University of California--San Diego,"$42,074 (out-of-state), $14,060 (in-state)",41,36%,http://www.ucsd.edu,"La Jolla, CA"
Boston University,"$53,948",42,29%,http://www.bu.edu/,"Boston, MA"
Case Western Reserve University,"$49,042",43,35%,http://case.edu,"Cleveland, OH"
Northeastern University,"$51,387",44,29%,http://www.northeastern.edu,"Boston, MA"
Tulane University,"$54,820",45,26%,http://tulane.edu,"New Orleans, LA"
Pepperdine University,"$53,932",46,37%,http://www.pepperdine.edu/,"Malibu, CA"
University of Georgia,"$30,404 (out-of-state), $11,830 (in-state)",47,54%,http://www.uga.edu,"Athens, GA"
University of Illinois--Urbana-Champaign,"$32,568 (out-of-state), $15,998 (in-state)",48,60%,http://www.illinois.edu/,"Champaign, IL"
Rensselaer Polytechnic Institute,"$53,880",49,44%,http://www.rpi.edu,"Troy, NY"
University of Texas--Austin,"$37,480 (out-of-state), $10,606 (in-state)",50,40%,http://www.utexas.edu,"Austin, TX"
University of Wisconsin--Madison,"$36,805 (out-of-state), $10,555 (in-state)",51,53%,http://www.wisc.edu,"Madison, WI"
Villanova University,"$53,458",52,44%,http://www.villanova.edu,"Villanova, PA"
Lehigh University,"$52,930",53,26%,http://www.lehigh.edu,"Bethlehem, PA"
Syracuse University,"$51,853",54,52%,https://www.syracuse.edu/,"Syracuse, NY"
University of Miami,"$50,226",55,38%,http://www.miami.edu/,"Coral Gables, FL"
Ohio State University--Columbus,"$30,742 (out-of-state), $10,726 (in-state)",56,54%,http://www.osu.edu/,"Columbus, OH"
Purdue University--West Lafayette,"$28,804 (out-of-state), $10,002 (in-state)",57,56%,http://www.purdue.edu,"West Lafayette, IN"
Rutgers University--New Brunswick,"$31,282 (out-of-state), $14,974 (in-state)",58,57%,https://newbrunswick.rutgers.edu/,"Piscataway, NJ"
Pennsylvania State University--University Park,"$34,858 (out-of-state), $18,454 (in-state)",59,56%,http://www.psu.edu/,"University Park, PA"
Southern Methodist University,"$54,493",60,49%,http://www.smu.edu,"Dallas, TX"
University of Washington,"$36,898 (out-of-state), $11,517 (in-state)",61,45%,http://www.washington.edu,"Seattle, WA"
Worcester Polytechnic Institute,"$50,530",62,48%,http://www.wpi.edu,"Worcester, MA"
George Washington University,"$55,230",63,40%,http://www.gwu.edu,"Washington, DC"
University of Connecticut,"$38,098 (out-of-state), $15,730 (in-state)",64,49%,http://uconn.edu/,"Storrs, CT"
University of Maryland--College Park,"$35,216 (out-of-state), $10,595 (in-state)",65,48%,http://www.umd.edu,"College Park, MD"
Brigham Young University--Provo,"$5,620",66,51%,http://www.byu.edu,"Provo, UT"
Clark University,"$45,730",67,57%,https://www.clarku.edu,"Worcester, MA"
Clemson University,"$36,724 (out-of-state), $14,970 (in-state)",68,51%,http://www.clemson.edu,"Clemson, SC"
Texas A&M University--College Station,"$36,636 (out-of-state), $10,968 (in-state)",69,67%,http://www.tamu.edu,"College Station, TX"
Florida State University,"$21,673 (out-of-state), $6,507 (in-state)",70,58%,http://www.fsu.edu,"Tallahassee, FL"
Fordham University,"$52,248",71,45%,http://www.fordham.edu,"New York, NY"
Stevens Institute of Technology,"$52,202",72,39%,https://www.stevens.edu/,"Hoboken, NJ"
University of California--Santa Cruz,"$41,963 (out-of-state), $13,949 (in-state)",73,58%,http://www.ucsc.edu/,"Santa Cruz, CA"
University of Massachusetts--Amherst,"$34,570 (out-of-state), $15,887 (in-state)",74,60%,http://www.umass.edu,"Amherst, MA"
University of Pittsburgh,"$32,052 (out-of-state), $19,080 (in-state)",75,55%,https://oafa.pitt.edu/,"Pittsburgh, PA"
University of Minnesota--Twin Cities,"$30,371 (out-of-state), $14,693 (in-state)",76,44%,https://twin-cities.umn.edu/,"Minneapolis, MN"
Virginia Tech,"$31,304 (out-of-state), $13,620 (in-state)",77,71%,http://www.vt.edu,"Blacksburg, VA"
American University,"$48,459",78,26%,http://www.american.edu,"Washington, DC"
Baylor University,"$45,542",79,40%,http://www.baylor.edu,"Waco, TX"
Binghamton University--SUNY,"$24,488 (out-of-state), $9,808 (in-state)",80,41%,http://www.binghamton.edu,"Binghamton, NY"
Colorado School of Mines,"$38,584 (out-of-state), $18,964 (in-state)",81,40%,http://www.mines.edu,"Golden, CO"
North Carolina State University--Raleigh,"$28,444 (out-of-state), $9,101 (in-state)",82,48%,https://www.ncsu.edu/,"Raleigh, NC"
Stony Brook University--SUNY,"$26,934 (out-of-state), $9,624 (in-state)",83,41%,http://www.stonybrook.edu,"Stony Brook, NY"
Texas Christian University,"$46,950",84,38%,http://www.tcu.edu/,"Fort Worth, TX"
Yeshiva University,"$43,500",85,51%,http://www.yu.edu,"New York, NY"
Michigan State University,"$39,750 (out-of-state), $14,460 (in-state)",86,66%,https://msu.edu/,"East Lansing, MI"
University of California--Riverside,"$42,879 (out-of-state), $13,887 (in-state)",87,66%,http://www.ucr.edu,"Riverside, CA"
University of San Diego,"$49,358",88,51%,http://www.sandiego.edu/,"San Diego, CA"
Howard University,"$26,756",89,30%,https://www.howard.edu,"Washington, DC"
Indiana University--Bloomington,"$35,456 (out-of-state), $10,681 (in-state)",90,79%,https://www.indiana.edu/,"Bloomington, IN"
Loyola University Chicago,"$44,048",91,73%,http://www.luc.edu,"Chicago, IL"
Marquette University,"$41,870",92,84%,http://www.marquette.edu,"Milwaukee, WI"
University at Buffalo--SUNY,"$27,758 (out-of-state), $10,028 (in-state)",93,59%,http://www.buffalo.edu,"Buffalo, NY"
University of Delaware,"$34,310 (out-of-state), $13,680 (in-state)",94,70%,http://www.udel.edu/,"Newark, DE"
University of Iowa,"$30,609 (out-of-state), $8,965 (in-state)",95,84%,http://admissions.uiowa.edu,"Iowa City, IA"
Illinois Institute of Technology,"$47,646",96,57%,http://iit.edu,"Chicago, IL"
Miami University--Oxford,"$33,577 (out-of-state), $14,825 (in-state)",97,65%,http://miamioh.edu,"Oxford, OH"
University of Colorado--Boulder,"$37,288 (out-of-state), $12,534 (in-state)",98,77%,http://www.colorado.edu,"Boulder, CO"
University of Denver,"$50,556",99,53%,http://www.du.edu,"Denver, CO"
University of San Francisco,"$48,066",100,71%,https://www.usfca.edu/,"San Francisco, CA"
University of Vermont,"$42,516 (out-of-state), $18,276 (in-state)",101,69%,http://www.uvm.edu,"Burlington, VT"
Clarkson University,"$49,444",102,68%,http://www.clarkson.edu,"Potsdam, NY"
Drexel University,"$52,002",103,75%,http://www.drexel.edu,"Philadelphia, PA"
Rochester Institute of Technology,"$44,130",104,55%,http://www.rit.edu/,"Rochester, NY"
University of Oregon,"$35,478 (out-of-state), $11,898 (in-state)",105,78%,https://www.uoregon.edu,"Eugene, OR"
New Jersey Institute of Technology,"$31,918 (out-of-state), $16,898 (in-state)",106,59%,http://www.njit.edu/,"Newark, NJ"
Saint Louis University,"$43,996",107,65%,https://www.slu.edu/,"St. Louis, MO"
SUNY College of Environmental Science and Forestry,"$18,218 (out-of-state), $8,568 (in-state)",108,54%,http://www.esf.edu,"Syracuse, NY"
Temple University,"$28,426 (out-of-state), $16,666 (in-state)",109,52%,http://www.temple.edu,"Philadelphia, PA"
University of Arizona,"$32,449 (out-of-state), $11,644 (in-state)",110,79%,http://www.arizona.edu,"Tucson, AZ"
University of New Hampshire,"$33,879 (out-of-state), $18,499 (in-state)",111,76%,http://www.unh.edu,"Durham, NH"
University of South Carolina,"$32,362 (out-of-state), $12,262 (in-state)",112,68%,http://sc.edu,"Columbia, SC"
University of the Pacific,"$48,040",113,66%,http://www.pacific.edu,"Stockton, CA"
University of Tulsa,"$39,552",114,40%,https://utulsa.edu/,"Tulsa, OK"
Arizona State University--Tempe,"$28,336 (out-of-state), $10,822 (in-state)",115,83%,https://asu.edu,"Tempe, AZ"
Auburn University,"$30,524 (out-of-state), $11,276 (in-state)",116,81%,http://www.auburn.edu,"Auburn, AL"
Rutgers University--Newark,"$30,717 (out-of-state), $14,409 (in-state)",117,65%,http://www.newark.rutgers.edu/,"Newark, NJ"
University of Tennessee,"$31,196 (out-of-state), $13,006 (in-state)",118,77%,http://www.utk.edu,"Knoxville, TN"
DePaul University,"$39,975",119,70%,http://www.depaul.edu,"Chicago, IL"
Duquesne University,"$38,178",120,74%,http://www.duq.edu,"Pittsburgh, PA"
Iowa State University,"$23,392 (out-of-state), $9,002 (in-state)",121,87%,http://www.iastate.edu,"Ames, IA"
Seton Hall University,"$42,170",122,67%,http://www.shu.edu/,"South Orange, NJ"
University of Utah,"$29,215 (out-of-state), $9,222 (in-state)",123,76%,http://www.utah.edu,"Salt Lake City, UT"
University of Oklahoma,"$24,443 (out-of-state), $9,062 (in-state)",124,71%,http://ou.edu,"Norman, OK"
University of South Florida,"$17,324 (out-of-state), $6,410 (in-state)",125,47%,http://www.usf.edu,"Tampa, FL"
University of St. Thomas,"$41,133",126,83%,http://www.stthomas.edu,"St. Paul, MN"
San Diego State University,"$19,368 (out-of-state), $7,488 (in-state)",127,35%,http://www.sdsu.edu,"San Diego, CA"
University of Dayton,"$42,900",128,60%,https://www.udayton.edu,"Dayton, OH"
The Catholic University of America,"$45,804",129,80%,http://www.cua.edu,"Washington, DC"
University of Alabama,"$29,230 (out-of-state), $10,780 (in-state)",130,53%,https://www.ua.edu/,"Tuscaloosa, AL"
University of Illinois--Chicago,"$27,672 (out-of-state), $14,816 (in-state)",131,74%,http://www.uic.edu,"Chicago, IL"
University of Kansas,"$27,358 (out-of-state), $11,148 (in-state)",132,93%,http://www.ku.edu,"Lawrence, KS"
University of Missouri,"$26,949 (out-of-state), $9,879 (in-state)",133,75%,http://missouri.edu/,"Columbia, MO"
University of Nebraska--Lincoln,"$25,038 (out-of-state), $9,242 (in-state)",134,75%,http://www.unl.edu/,"Lincoln, NE"
University of Texas--Dallas,"$36,876 (out-of-state), $13,034 (in-state)",135,68%,http://www.utdallas.edu,"Richardson, TX"
George Mason University,"$35,922 (out-of-state), $12,462 (in-state)",136,81%,https://www2.gmu.edu/,"Fairfax, VA"
Michigan Technological University,"$33,726 (out-of-state), $15,646 (in-state)",137,76%,http://www.mtu.edu,"Houghton, MI"
University of California--Merced,"$41,641 (out-of-state), $13,627 (in-state)",138,74%,http://www.ucmerced.edu,"Merced, CA"
University of La Verne,"$43,050",139,48%,http://www.laverne.edu/,"La Verne, CA"
Colorado State University,"$29,884 (out-of-state), $11,982 (in-state)",140,78%,http://www.colostate.edu,"Fort Collins, CO"
Hofstra University,"$45,700",141,62%,http://www.hofstra.edu/home/index.html,"Hempstead, NY"
Louisiana State University--Baton Rouge,"$28,627 (out-of-state), $11,950 (in-state)",142,76%,http://www.lsu.edu,"Baton Rouge, LA"
Mercer University,"$36,894",143,69%,http://www.mercer.edu,"Macon, GA"
Oregon State University,"$30,141 (out-of-state), $11,166 (in-state)",144,77%,http://oregonstate.edu,"Corvallis, OR"
University at Albany--SUNY,"$24,436 (out-of-state), $9,756 (in-state)",145,54%,http://www.albany.edu,"Albany, NY"
Washington State University,"$25,820 (out-of-state), $11,584 (in-state)",146,72%,http://wsu.edu/,"Pullman, WA"
Adelphi University,"$38,660",147,70%,http://www.adelphi.edu/,"Garden City, NY"
Kansas State University,"$25,492 (out-of-state), $10,135 (in-state)",148,94%,http://www.k-state.edu,"Manhattan, KS"
The New School,"$48,631",149,60%,http://www.newschool.edu/,"New York, NY"
University of Cincinnati,"$26,334 (out-of-state), $11,000 (in-state)",150,76%,http://www.uc.edu,"Cincinnati, OH"
University of Kentucky,"$29,168 (out-of-state), $12,180 (in-state)",151,91%,http://www.uky.edu,"Lexington, KY"
St. John Fisher College,"$34,310",152,65%,http://www.sjfc.edu,"Rochester, NY"
St. John's University,"$41,760",153,63%,http://www.stjohns.edu,"Queens, NY"
Union University,"$32,610",154,63%,http://www.uu.edu,"Jackson, TN"
University of Arkansas,"$25,168 (out-of-state), $9,130 (in-state)",155,63%,http://www.uark.edu,"Fayetteville, AR"
University of Mississippi,"$23,554 (out-of-state), $8,290 (in-state)",156,78%,http://www.olemiss.edu,"University, MS"
Biola University,"$40,488",157,65%,https://www.biola.edu,"La Mirada, CA"
Missouri University of Science & Technology,"$27,701 (out-of-state), $9,839 (in-state)",158,79%,http://www.mst.edu/,"Rolla, MO"
Oklahoma State University,"$24,538 (out-of-state), $9,017 (in-state)",159,75%,http://www.okstate.edu/,"Stillwater, OK"
University of Alabama--Birmingham,"$24,630 (out-of-state), $10,710 (in-state)",160,58%,http://www.uab.edu,"Birmingham, AL"
University of Hawaii--Manoa,"$34,002 (out-of-state), $11,970 (in-state)",161,85%,http://www.manoa.hawaii.edu,"Honolulu, HI"
University of Massachusetts--Lowell,"$32,827 (out-of-state), $15,180 (in-state)",162,61%,http://www.uml.edu,"Lowell, MA"
University of Rhode Island,"$30,862 (out-of-state), $14,138 (in-state)",163,73%,https://www.uri.edu/,"Kingston, RI"
Virginia Commonwealth University,"$35,138 (out-of-state), $14,490 (in-state)",164,81%,http://www.vcu.edu/,"Richmond, VA"
Edgewood College,"$29,500",165,76%,https://www.edgewood.edu,"Madison, WI"
University of Central Florida,"$22,467 (out-of-state), $6,368 (in-state)",166,50%,http://www.ucf.edu/,"Orlando, FL"
University of Idaho,"$25,500 (out-of-state), $7,864 (in-state)",167,76%,https://www.uidaho.edu,"Moscow, ID"
University of Maryland--Baltimore County,"$26,892 (out-of-state), $11,798 (in-state)",168,57%,http://umbc.edu,"Baltimore, MD"
Montclair State University,"$20,578 (out-of-state), $12,970 (in-state)",169,66%,http://www.montclair.edu,"Montclair, NJ"
Seattle Pacific University,"$42,939",170,87%,http://www.spu.edu,"Seattle, WA"
Ball State University,"$26,468 (out-of-state), $9,896 (in-state)",171,62%,http://bsu.edu,"Muncie, IN"
Illinois State University,"$26,014 (out-of-state), $14,490 (in-state)",172,89%,https://illinoisstate.edu/,"Normal, IL"
Ohio University,"$21,656 (out-of-state), $12,192 (in-state)",173,75%,http://www.ohio.edu,"Athens, OH"
Rowan University,"$21,890 (out-of-state), $13,422 (in-state)",174,71%,http://www.rowan.edu,"Glassboro, NJ"
University of Houston,"$26,340 (out-of-state), $10,890 (in-state)",175,59%,http://www.uh.edu/,"Houston, TX"
University of Louisville,"$26,286 (out-of-state), $11,264 (in-state)",176,73%,http://www.louisville.edu,"Louisville, KY"
Florida Institute of Technology,"$41,850",177,61%,http://www.fit.edu,"Melbourne, FL"
Maryville University of St. Louis,"$28,470",178,93%,http://www.maryville.edu,"St Louis, MO"
Mississippi State University,"$23,250 (out-of-state), $8,650 (in-state)",179,56%,http://www.msstate.edu,"Mississippi State, MS"
Pace University,"$45,330",180,84%,http://www.pace.edu,"New York, NY"
Suffolk University,"$38,566",181,84%,http://www.suffolk.edu,"Boston, MA"
University of Maine,"$30,970 (out-of-state), $11,170 (in-state)",182,90%,https://umaine.edu,"Orono, ME"
Immaculata University,"$27,350",183,82%,https://www.immaculata.edu/,"Immaculata, PA"
